topic,subtopic,difficulty,score,total_questions,percentage,time_taken,attempt_number,timestamp,user_id,score_ratio,is_improving,avg_previous_score,readiness
OS,Memory Management,beginner,3,5,60.8,809,2,2025-11-01 22:12:43.498117,user_0308,0.6,True,,Excellent
Java,OOPs,advanced,5,5,100.0,580,17,2025-12-21 22:12:43.502108,user_0345,1.0,False,100.0,Excellent
DBMS,Normalization,intermediate,5,5,100.0,728,10,2025-11-15 22:12:43.461216,user_0042,1.0,False,,Excellent
C,Arrays,advanced,5,5,100.0,597,20,2025-12-23 22:12:43.482143,user_0186,1.0,False,94.2,Excellent
C,Functions,advanced,5,5,100.0,673,15,2025-12-12 22:12:43.510086,user_0406,1.0,True,61.8,Good
Java,Inheritance,advanced,5,5,100.0,710,21,2025-12-20 22:12:43.498117,user_0313,1.0,True,86.65,Excellent
Python,Dictionaries,intermediate,4,5,98.8,572,8,2025-11-02 22:12:43.477145,user_0145,0.8,True,,Excellent
OS,Processes,advanced,5,5,100.0,730,27,2025-12-26 22:12:43.461216,user_0042,1.0,False,100.0,Excellent
OS,Processes,advanced,5,5,100.0,562,26,2026-01-05 22:12:43.461216,user_0039,1.0,False,99.73333333333333,Excellent
OS,Memory Management,beginner,5,5,100.0,676,2,2025-10-24 22:12:43.489109,user_0244,1.0,True,,Excellent
OS,Processes,advanced,5,5,100.0,742,21,2025-12-22 22:12:43.456194,user_0000,1.0,False,72.36666666666666,Excellent
DBMS,Normalization,advanced,4,5,96.3,566,19,2025-12-18 22:12:43.514074,user_0433,0.8,True,,Excellent
C,Pointers,advanced,5,5,100.0,729,15,2025-12-13 22:12:43.487148,user_0225,1.0,False,71.75,Excellent
C,Loops,beginner,1,5,39.4,698,1,2025-11-18 22:12:43.460220,user_0036,0.2,False,,Excellent
DBMS,SQL,beginner,2,5,51.0,840,1,2025-11-06 22:12:43.493131,user_0269,0.4,False,,Average
C,Arrays,intermediate,5,5,100.0,514,10,2025-12-06 22:12:43.516071,user_0451,1.0,False,100.0,Excellent
OS,Threads,intermediate,5,5,100.0,668,12,2025-12-13 22:12:43.518063,user_0471,1.0,False,84.3,Excellent
Python,Dictionaries,intermediate,4,5,85.9,726,10,2025-12-26 22:12:43.464208,user_0068,0.8,True,80.7,Excellent
DBMS,SQL,beginner,3,5,73.1,766,4,2025-11-13 22:12:43.502108,user_0342,0.6,True,,Excellent
Data Structures,Linked List,intermediate,4,5,80.4,756,6,2025-12-07 22:12:43.505100,user_0369,0.8,False,68.03333333333335,Excellent
Python,Dictionaries,beginner,2,5,58.5,623,3,2025-10-29 22:12:43.464208,user_0069,0.4,True,,Excellent
OS,Threads,advanced,5,5,100.0,620,21,2025-12-17 22:12:43.481266,user_0182,1.0,False,100.0,Excellent
DBMS,SQL,intermediate,2,5,51.2,785,7,2025-11-15 22:12:43.458228,user_0022,0.4,False,56.4,Excellent
Java,Exceptions,advanced,4,5,85.5,597,14,2025-12-04 22:12:43.484122,user_0204,0.8,True,64.83333333333333,Good
C,Pointers,advanced,4,5,88.5,657,21,2026-01-05 22:12:43.517066,user_0460,0.8,False,78.93333333333334,Good
Python,Lists,advanced,5,5,100.0,584,15,2025-12-15 22:12:43.521058,user_0491,1.0,False,82.5,Excellent
Python,Dictionaries,advanced,5,5,100.0,533,29,2025-12-16 22:12:43.461216,user_0044,1.0,False,100.0,Excellent
Python,Lists,beginner,5,5,100.0,599,4,2025-10-27 22:12:43.493131,user_0272,1.0,False,100.0,Excellent
OS,Memory Management,advanced,5,5,100.0,526,24,2025-12-26 22:12:43.501109,user_0332,1.0,False,98.0,Excellent
Data Structures,Queues,beginner,3,5,64.6,807,5,2025-10-29 22:12:43.498117,user_0314,0.6,False,77.7,Excellent
DBMS,Normalization,beginner,3,5,70.2,774,4,2025-11-27 22:12:43.463213,user_0060,0.6,True,,Good
C,Loops,beginner,3,5,69.0,792,2,2025-10-27 22:12:43.513078,user_0427,0.6,True,,Excellent
Data Structures,Linked List,advanced,5,5,100.0,600,21,2025-12-20 22:12:43.471157,user_0112,1.0,True,79.14285714285714,Excellent
DBMS,SQL,advanced,3,5,73.0,652,30,2025-12-20 22:12:43.456194,user_0001,0.6,False,69.81666666666666,Excellent
C,Functions,advanced,5,5,100.0,692,15,2026-01-03 22:12:43.492134,user_0263,1.0,False,100.0,Excellent
OS,Processes,advanced,5,5,100.0,541,32,2026-01-07 22:12:43.488111,user_0234,1.0,False,100.0,Excellent
OS,Threads,advanced,5,5,100.0,524,23,2026-01-03 22:12:43.513078,user_0425,1.0,True,79.025,Good
Java,Inheritance,advanced,5,5,100.0,561,28,2026-01-14 22:12:43.468198,user_0089,1.0,False,93.61,Excellent
C,Pointers,beginner,3,5,76.6,608,4,2025-12-11 22:12:43.483156,user_0197,0.6,True,,Excellent
Python,Lists,advanced,5,5,100.0,634,13,2026-01-02 22:12:43.513078,user_0428,1.0,False,100.0,Excellent
Data Structures,Stacks,beginner,1,5,36.1,850,1,2025-12-09 22:12:43.517066,user_0458,0.2,False,,Good
Data Structures,Queues,advanced,5,5,100.0,527,26,2025-12-24 22:12:43.499115,user_0317,1.0,False,97.31428571428572,Excellent
OS,Memory Management,advanced,5,5,100.0,734,26,2025-12-23 22:12:43.507093,user_0384,1.0,False,96.275,Excellent
C,Functions,beginner,1,5,28.6,890,2,2025-11-25 22:12:43.464208,user_0065,0.2,False,,Average
Java,Exceptions,intermediate,4,5,82.2,581,12,2025-11-20 22:12:43.490137,user_0247,0.8,True,60.6,Good
DBMS,SQL,advanced,5,5,100.0,643,21,2025-12-27 22:12:43.470191,user_0104,1.0,False,98.8125,Excellent
Data Structures,Trees,beginner,1,5,37.8,867,1,2025-10-19 22:12:43.497122,user_0307,0.2,False,,Average
DBMS,Normalization,advanced,5,5,100.0,690,18,2025-12-24 22:12:43.489109,user_0245,1.0,True,75.325,Excellent
DBMS,Transactions,beginner,3,5,70.7,768,3,2025-11-12 22:12:43.488111,user_0236,0.6,False,,Good
C,Loops,intermediate,5,5,100.0,695,8,2025-12-17 22:12:43.519063,user_0474,1.0,True,92.19999999999999,Excellent
DBMS,SQL,intermediate,4,5,93.5,529,7,2025-12-23 22:12:43.494115,user_0279,0.8,True,99.4,Good
Python,File Handling,beginner,5,5,100.0,619,3,2025-11-25 22:12:43.515072,user_0442,1.0,True,,Excellent
Python,File Handling,intermediate,4,5,84.4,731,6,2025-12-23 22:12:43.492134,user_0265,0.8,True,70.0,Excellent
Java,Exceptions,intermediate,5,5,100.0,557,6,2025-12-10 22:12:43.477145,user_0149,1.0,False,,Excellent
C,Arrays,advanced,5,5,100.0,531,29,2026-01-04 22:12:43.490137,user_0246,1.0,False,100.0,Excellent
C,Functions,intermediate,4,5,93.8,766,12,2025-12-21 22:12:43.522021,user_0497,0.8,True,75.3,Excellent
DBMS,Normalization,advanced,5,5,100.0,593,32,2025-12-31 22:12:43.471157,user_0111,1.0,False,87.625,Excellent
OS,Threads,advanced,5,5,100.0,598,22,2026-01-18 22:12:43.504101,user_0360,1.0,False,100.0,Excellent
Data Structures,Queues,advanced,3,5,76.4,771,18,2025-12-10 22:12:43.474148,user_0136,0.6,True,48.025,Good
Java,Inheritance,beginner,1,5,25.0,900,4,2025-12-07 22:12:43.495127,user_0291,0.2,False,,Average
Python,Lists,advanced,5,5,100.0,611,21,2026-01-09 22:12:43.480133,user_0169,1.0,False,88.45,Excellent
Python,Lists,beginner,5,5,100.0,527,3,2025-11-02 22:12:43.519063,user_0476,1.0,True,,Excellent
OS,Threads,intermediate,4,5,98.8,535,6,2025-12-21 22:12:43.501109,user_0336,0.8,True,97.3,Excellent
DBMS,Transactions,intermediate,4,5,99.7,737,11,2025-12-13 22:12:43.465207,user_0072,0.8,True,,Excellent
Data Structures,Trees,advanced,5,5,100.0,739,15,2026-01-21 22:12:43.520058,user_0487,1.0,False,92.25,Good
C,Functions,advanced,5,5,100.0,651,18,2025-11-26 22:12:43.478138,user_0152,1.0,False,79.85,Excellent
DBMS,SQL,advanced,5,5,100.0,581,30,2026-01-19 22:12:43.457229,user_0012,1.0,False,100.0,Excellent
OS,Memory Management,advanced,5,5,100.0,681,24,2025-12-08 22:12:43.467199,user_0082,1.0,True,79.3,Excellent
Java,OOPs,advanced,5,5,100.0,656,24,2026-01-04 22:12:43.513078,user_0432,1.0,False,80.3,Excellent
OS,Threads,advanced,5,5,100.0,730,15,2026-01-09 22:12:43.503106,user_0350,1.0,False,100.0,Excellent
OS,Processes,intermediate,5,5,100.0,609,6,2025-10-30 22:12:43.500113,user_0323,1.0,True,100.0,Excellent
C,Loops,advanced,5,5,100.0,609,16,2026-01-10 22:12:43.474148,user_0135,1.0,False,100.0,Excellent
C,Arrays,intermediate,5,5,100.0,636,8,2025-11-26 22:12:43.470191,user_0108,1.0,True,66.4,Excellent
DBMS,Normalization,advanced,5,5,100.0,614,22,2026-01-05 22:12:43.486148,user_0215,1.0,False,97.625,Excellent
C,Loops,advanced,5,5,100.0,559,23,2026-01-11 22:12:43.488111,user_0236,1.0,False,80.8,Good
Java,OOPs,intermediate,4,5,97.7,751,9,2025-11-16 22:12:43.514074,user_0435,0.8,False,97.56666666666666,Excellent
Python,Dictionaries,advanced,5,5,100.0,675,20,2025-12-12 22:12:43.493131,user_0272,1.0,False,100.0,Excellent
OS,Processes,advanced,5,5,100.0,747,33,2026-01-17 22:12:43.459221,user_0029,1.0,False,98.33636363636364,Excellent
Java,OOPs,advanced,5,5,100.0,570,19,2025-12-06 22:12:43.477145,user_0145,1.0,True,96.75,Excellent
DBMS,Transactions,advanced,5,5,100.0,521,28,2026-01-22 22:12:43.486148,user_0222,1.0,False,97.0,Excellent
Data Structures,Stacks,intermediate,5,5,100.0,707,11,2025-11-02 22:12:43.461216,user_0044,1.0,False,92.16666666666667,Excellent
DBMS,Transactions,beginner,2,5,57.1,748,2,2025-12-02 22:12:43.517066,user_0462,0.4,False,,Excellent
OS,Processes,intermediate,5,5,100.0,706,12,2025-11-08 22:12:43.469195,user_0097,1.0,False,77.425,Excellent
Java,OOPs,beginner,4,5,97.7,558,5,2025-11-09 22:12:43.518063,user_0467,0.8,True,88.6,Excellent
OS,Memory Management,intermediate,5,5,100.0,707,10,2025-11-30 22:12:43.468198,user_0089,1.0,False,,Excellent
C,Pointers,advanced,5,5,100.0,686,27,2026-01-06 22:12:43.492134,user_0261,1.0,True,79.05,Good
C,Pointers,advanced,3,5,77.4,584,13,2025-12-17 22:12:43.497122,user_0303,0.6,False,,Excellent
OS,Memory Management,intermediate,5,5,100.0,725,10,2025-12-17 22:12:43.499115,user_0321,1.0,False,73.3,Excellent
Data Structures,Trees,intermediate,5,5,100.0,650,7,2025-12-22 22:12:43.499115,user_0319,1.0,False,,Excellent
Data Structures,Stacks,beginner,3,5,67.6,797,4,2025-11-23 22:12:43.506095,user_0377,0.6,True,58.25,Average
OS,Threads,advanced,5,5,100.0,711,15,2025-12-12 22:12:43.498117,user_0308,1.0,True,60.8,Excellent
Data Structures,Trees,intermediate,3,5,62.4,671,10,2025-11-11 22:12:43.496122,user_0297,0.6,False,55.575,Excellent
Python,File Handling,beginner,5,5,100.0,678,4,2025-12-16 22:12:43.464208,user_0066,1.0,True,,Excellent
C,Loops,beginner,2,5,51.0,808,2,2025-12-03 22:12:43.495127,user_0291,0.4,True,,Average
DBMS,Transactions,intermediate,1,5,35.6,700,10,2025-11-29 22:12:43.517066,user_0459,0.2,False,,Average
Python,Dictionaries,intermediate,4,5,91.9,537,11,2025-11-28 22:12:43.478138,user_0156,0.8,True,66.25,Good
OS,Threads,advanced,5,5,100.0,603,24,2025-12-24 22:12:43.518063,user_0468,1.0,False,99.9,Excellent
C,Arrays,beginner,2,5,43.3,760,2,2025-11-20 22:12:43.465207,user_0072,0.4,False,44.9,Excellent
Data Structures,Linked List,intermediate,5,5,100.0,717,12,2025-12-09 22:12:43.468198,user_0089,1.0,False,99.63333333333333,Excellent
Python,Lists,advanced,5,5,100.0,541,24,2026-01-19 22:12:43.477145,user_0144,1.0,False,97.275,Excellent
Data Structures,Stacks,advanced,5,5,100.0,747,19,2026-01-16 22:12:43.516071,user_0454,1.0,False,94.4,Excellent
Java,Exceptions,advanced,5,5,100.0,546,17,2025-12-18 22:12:43.521058,user_0493,1.0,False,100.0,Excellent
C,Loops,advanced,5,5,100.0,511,14,2026-01-01 22:12:43.500113,user_0327,1.0,True,91.9,Excellent
DBMS,Normalization,advanced,3,5,74.2,798,16,2026-01-12 22:12:43.466203,user_0081,0.6,False,64.76666666666667,Good
DBMS,Normalization,beginner,5,5,100.0,581,5,2025-12-08 22:12:43.497122,user_0300,1.0,True,,Excellent
OS,Threads,advanced,5,5,100.0,629,21,2026-01-14 22:12:43.483156,user_0192,1.0,False,95.675,Excellent
DBMS,Transactions,beginner,1,5,37.3,791,3,2025-11-22 22:12:43.462213,user_0051,0.2,False,,Average
Data Structures,Trees,intermediate,4,5,88.5,651,12,2025-12-28 22:12:43.504101,user_0361,0.8,False,,Excellent
Java,OOPs,advanced,5,5,100.0,692,21,2025-12-05 22:12:43.478138,user_0152,1.0,False,80.9,Excellent
Java,Inheritance,intermediate,4,5,95.0,571,11,2025-12-07 22:12:43.508093,user_0391,0.8,False,63.55,Excellent
Python,Lists,intermediate,2,5,47.7,684,7,2025-11-07 22:12:43.479135,user_0166,0.4,False,,Good
Java,Exceptions,advanced,5,5,100.0,574,21,2025-12-09 22:12:43.501109,user_0333,1.0,False,98.39999999999999,Excellent
C,Pointers,advanced,5,5,100.0,690,23,2025-12-22 22:12:43.458228,user_0016,1.0,False,88.26666666666667,Excellent
C,Pointers,advanced,2,5,53.9,785,16,2025-12-29 22:12:43.460220,user_0033,0.4,False,46.8,Average
C,Pointers,beginner,2,5,54.5,765,4,2025-12-17 22:12:43.480133,user_0171,0.4,False,53.05,Good
OS,Memory Management,advanced,5,5,100.0,671,28,2026-01-21 22:12:43.460220,user_0032,1.0,False,77.45,Excellent
DBMS,Normalization,advanced,5,5,100.0,562,21,2026-01-11 22:12:43.483156,user_0198,1.0,False,73.3,Excellent
OS,Processes,advanced,5,5,100.0,526,25,2026-01-14 22:12:43.504101,user_0363,1.0,False,100.0,Excellent
Data Structures,Queues,intermediate,4,5,87.5,607,11,2025-12-07 22:12:43.512080,user_0420,0.8,False,,Excellent
Data Structures,Queues,advanced,5,5,100.0,534,15,2025-11-23 22:12:43.461216,user_0038,1.0,False,,Excellent
C,Functions,advanced,3,5,65.5,674,15,2025-12-02 22:12:43.515072,user_0447,0.6,False,57.43333333333334,Good
C,Pointers,advanced,5,5,100.0,586,15,2025-12-28 22:12:43.494115,user_0280,1.0,False,98.175,Excellent
DBMS,SQL,intermediate,5,5,100.0,574,8,2025-12-03 22:12:43.463213,user_0061,1.0,False,,Excellent
DBMS,Transactions,advanced,5,5,100.0,715,17,2025-12-05 22:12:43.466203,user_0078,1.0,True,100.0,Excellent
Data Structures,Stacks,advanced,5,5,100.0,555,23,2025-12-17 22:12:43.490137,user_0246,1.0,False,88.4,Excellent
Java,OOPs,advanced,5,5,100.0,630,16,2025-11-25 22:12:43.518063,user_0470,1.0,True,82.26666666666667,Excellent
OS,Threads,intermediate,3,5,76.0,630,11,2025-11-29 22:12:43.513078,user_0425,0.6,False,67.5,Good
Java,Exceptions,intermediate,3,5,71.1,670,7,2025-11-16 22:12:43.493131,user_0274,0.6,True,45.4,Excellent
OS,Processes,advanced,5,5,100.0,646,15,2025-11-15 22:12:43.469195,user_0097,1.0,False,81.94,Excellent
Java,Inheritance,beginner,2,5,44.4,726,2,2025-11-10 22:12:43.470191,user_0109,0.4,False,,Excellent
Python,Dictionaries,advanced,5,5,100.0,633,18,2026-01-03 22:12:43.497122,user_0303,1.0,False,87.16,Excellent
Java,Inheritance,beginner,3,5,73.6,678,3,2025-10-22 22:12:43.467199,user_0088,0.6,True,,Excellent
Python,File Handling,intermediate,3,5,76.9,577,6,2025-12-06 22:12:43.471157,user_0117,0.6,False,,Excellent
OS,Processes,intermediate,4,5,90.2,775,7,2025-12-26 22:12:43.504101,user_0358,0.8,True,53.8,Excellent
Data Structures,Trees,intermediate,4,5,93.4,588,8,2025-11-09 22:12:43.458228,user_0015,0.8,True,77.65,Excellent
Java,OOPs,advanced,4,5,95.0,714,15,2026-01-20 22:12:43.509087,user_0394,0.8,False,72.55,Excellent
C,Pointers,advanced,5,5,100.0,653,21,2026-01-17 22:12:43.486148,user_0216,1.0,False,90.35,Excellent
Java,Inheritance,advanced,3,5,73.8,662,27,2026-01-08 22:12:43.517066,user_0457,0.6,False,40.4,Excellent
Java,OOPs,intermediate,5,5,100.0,589,11,2025-11-19 22:12:43.461216,user_0039,1.0,False,90.55,Excellent
Data Structures,Trees,beginner,1,5,36.7,891,4,2025-11-01 22:12:43.473249,user_0126,0.2,False,36.8,Good
Java,Inheritance,beginner,4,5,86.2,668,1,2025-11-21 22:12:43.485119,user_0209,0.8,False,,Excellent
Data Structures,Stacks,intermediate,4,5,83.5,571,8,2025-12-14 22:12:43.508093,user_0388,0.8,False,71.7,Excellent
Java,OOPs,beginner,2,5,43.4,720,1,2025-11-06 22:12:43.521058,user_0488,0.4,False,,Good
Python,File Handling,beginner,2,5,47.9,667,4,2025-12-17 22:12:43.483156,user_0196,0.4,False,56.1,Good
C,Arrays,advanced,5,5,100.0,657,26,2026-01-21 22:12:43.491135,user_0256,1.0,False,98.175,Excellent
DBMS,SQL,advanced,5,5,100.0,606,23,2025-12-21 22:12:43.520058,user_0480,1.0,False,96.425,Excellent
C,Loops,intermediate,5,5,100.0,742,9,2025-12-13 22:12:43.499115,user_0321,1.0,True,,Excellent
C,Loops,beginner,3,5,70.4,805,5,2025-12-07 22:12:43.510086,user_0405,0.6,True,45.0,Good
Python,Lists,intermediate,3,5,73.9,808,7,2025-12-09 22:12:43.478138,user_0157,0.6,True,82.5,Good
Java,Inheritance,advanced,5,5,100.0,546,13,2025-12-25 22:12:43.460220,user_0031,1.0,False,81.3,Excellent
Data Structures,Linked List,beginner,4,5,99.7,623,4,2025-11-18 22:12:43.463213,user_0061,0.8,False,85.2,Excellent
Java,OOPs,advanced,5,5,100.0,601,30,2026-01-17 22:12:43.461216,user_0038,1.0,False,100.0,Excellent
Java,Inheritance,intermediate,2,5,59.9,696,6,2025-10-23 22:12:43.521058,user_0490,0.4,False,67.0,Excellent
Data Structures,Trees,beginner,2,5,52.9,642,3,2025-11-09 22:12:43.470191,user_0105,0.4,False,48.1,Good
DBMS,SQL,intermediate,4,5,82.9,771,11,2025-12-26 22:12:43.459221,user_0025,0.8,True,73.8,Good
DBMS,Transactions,advanced,5,5,100.0,622,16,2026-01-03 22:12:43.493131,user_0268,1.0,False,91.5,Excellent
C,Arrays,beginner,4,5,96.9,553,3,2025-12-12 22:12:43.471157,user_0110,0.8,True,,Excellent
Java,OOPs,advanced,5,5,100.0,516,17,2026-01-09 22:12:43.497122,user_0301,1.0,False,100.0,Excellent
DBMS,SQL,beginner,2,5,58.2,685,5,2025-11-04 22:12:43.515072,user_0444,0.4,True,36.9,Excellent
DBMS,Transactions,advanced,4,5,89.2,747,19,2026-01-17 22:12:43.458228,user_0021,0.8,True,56.220000000000006,Needs Improvement
C,Pointers,advanced,4,5,94.1,701,23,2025-12-25 22:12:43.506095,user_0375,0.8,False,63.833333333333336,Excellent
Data Structures,Queues,beginner,3,5,76.1,729,5,2025-10-30 22:12:43.493131,user_0272,0.6,False,,Excellent
DBMS,Normalization,beginner,3,5,67.7,620,1,2025-11-06 22:12:43.457229,user_0008,0.6,False,,Good
OS,Processes,advanced,5,5,100.0,707,26,2026-01-01 22:12:43.512080,user_0417,1.0,False,78.2,Excellent
C,Functions,beginner,1,5,21.3,755,2,2025-10-19 22:12:43.491135,user_0251,0.2,False,,Average
OS,Threads,intermediate,4,5,87.2,649,12,2025-11-27 22:12:43.491135,user_0252,0.8,False,73.36666666666667,Excellent
Python,Lists,advanced,4,5,94.3,569,16,2025-12-21 22:12:43.494115,user_0283,0.8,False,59.925,Excellent
Java,Inheritance,advanced,4,5,88.1,565,23,2025-12-27 22:12:43.474148,user_0136,0.8,False,48.78,Good
C,Arrays,beginner,2,5,51.7,685,1,2025-10-19 22:12:43.485119,user_0214,0.4,False,,Excellent
DBMS,Normalization,beginner,5,5,100.0,673,4,2025-10-28 22:12:43.463213,user_0057,1.0,True,,Excellent
Data Structures,Stacks,advanced,5,5,100.0,616,17,2025-11-21 22:12:43.469195,user_0097,1.0,False,100.0,Excellent
Java,Inheritance,intermediate,4,5,91.0,610,9,2025-12-28 22:12:43.471157,user_0110,0.8,False,92.6,Excellent
Java,OOPs,advanced,5,5,100.0,578,33,2026-01-19 22:12:43.468198,user_0094,1.0,False,83.875,Excellent
Python,Dictionaries,beginner,3,5,72.9,763,5,2025-12-06 22:12:43.511084,user_0411,0.6,False,,Excellent
Data Structures,Linked List,advanced,5,5,100.0,524,22,2025-12-13 22:12:43.496122,user_0297,1.0,True,58.53333333333333,Excellent
Python,Lists,advanced,5,5,100.0,702,26,2026-01-16 22:12:43.481266,user_0178,1.0,False,100.0,Excellent
DBMS,SQL,advanced,4,5,89.1,707,22,2026-02-03 22:12:43.462213,user_0051,0.8,True,59.4,Average
C,Functions,advanced,5,5,100.0,700,20,2026-01-22 22:12:43.497122,user_0301,1.0,False,99.38,Excellent
Data Structures,Queues,beginner,3,5,76.8,669,5,2025-10-23 22:12:43.490137,user_0246,0.6,True,,Excellent
OS,Memory Management,advanced,4,5,82.8,791,13,2026-01-01 22:12:43.478138,user_0153,0.8,False,72.0,Excellent
DBMS,Transactions,advanced,4,5,90.2,627,13,2025-11-25 22:12:43.456194,user_0000,0.8,True,80.55000000000001,Excellent
OS,Threads,beginner,3,5,73.2,765,5,2025-11-13 22:12:43.460220,user_0032,0.6,False,69.8,Excellent
DBMS,SQL,beginner,2,5,49.1,825,5,2025-11-07 22:12:43.470191,user_0107,0.4,True,21.9,Average
Java,OOPs,advanced,5,5,100.0,613,15,2025-12-07 22:12:43.513078,user_0432,1.0,False,70.45,Excellent
DBMS,Normalization,advanced,5,5,100.0,630,32,2026-01-18 22:12:43.458228,user_0016,1.0,False,97.05,Excellent
DBMS,Transactions,advanced,5,5,100.0,615,29,2026-01-01 22:12:43.507093,user_0384,1.0,False,96.65,Excellent
C,Functions,advanced,1,5,38.6,792,15,2026-01-08 22:12:43.520058,user_0483,0.2,False,33.5,Average
OS,Threads,intermediate,1,5,39.7,760,9,2025-12-11 22:12:43.464208,user_0065,0.2,True,41.8,Average
Java,Inheritance,beginner,5,5,100.0,591,1,2025-11-12 22:12:43.474148,user_0133,1.0,False,,Excellent
Python,File Handling,advanced,5,5,100.0,528,18,2025-12-02 22:12:43.500113,user_0326,1.0,False,68.35,Excellent
OS,Threads,advanced,5,5,100.0,669,26,2026-01-04 22:12:43.514074,user_0435,1.0,False,100.0,Excellent
DBMS,Normalization,intermediate,5,5,100.0,571,11,2025-12-07 22:12:43.508093,user_0392,1.0,True,95.2,Excellent
Python,Dictionaries,intermediate,2,5,54.8,655,12,2025-11-25 22:12:43.514074,user_0433,0.4,False,65.4,Excellent
Java,OOPs,advanced,5,5,100.0,748,33,2026-01-01 22:12:43.471157,user_0111,1.0,False,100.0,Excellent
DBMS,Transactions,advanced,4,5,92.2,534,17,2025-12-30 22:12:43.500113,user_0325,0.8,True,86.25,Excellent
Python,Lists,intermediate,4,5,91.2,585,7,2025-12-04 22:12:43.460220,user_0036,0.8,True,83.6,Excellent
OS,Threads,beginner,5,5,100.0,646,4,2025-11-07 22:12:43.502108,user_0344,1.0,False,96.2,Excellent
Java,OOPs,advanced,5,5,100.0,675,25,2025-12-29 22:12:43.490137,user_0247,1.0,True,82.325,Good
C,Pointers,advanced,5,5,100.0,708,15,2025-11-27 22:12:43.507093,user_0384,1.0,False,89.60000000000001,Excellent
OS,Processes,intermediate,5,5,100.0,645,10,2026-01-05 22:12:43.514074,user_0439,1.0,False,82.83333333333333,Excellent
Java,Exceptions,intermediate,5,5,100.0,699,12,2025-11-24 22:12:43.504101,user_0362,1.0,False,100.0,Excellent
Java,Exceptions,intermediate,5,5,100.0,585,11,2025-11-16 22:12:43.499115,user_0317,1.0,True,85.5,Excellent
Python,File Handling,advanced,5,5,100.0,584,26,2026-01-20 22:12:43.488111,user_0236,1.0,False,63.93333333333334,Good
Python,Dictionaries,advanced,5,5,100.0,581,22,2026-01-15 22:12:43.483156,user_0192,1.0,False,,Excellent
OS,Threads,advanced,5,5,100.0,669,28,2026-01-13 22:12:43.463213,user_0054,1.0,False,100.0,Excellent
Python,Dictionaries,beginner,4,5,98.5,744,2,2025-10-14 22:12:43.456194,user_0001,0.8,True,,Excellent
Data Structures,Stacks,advanced,5,5,100.0,698,18,2026-01-08 22:12:43.476177,user_0141,1.0,False,75.5,Excellent
C,Pointers,beginner,3,5,65.7,703,2,2025-10-24 22:12:43.498117,user_0313,0.6,True,,Excellent
DBMS,SQL,intermediate,5,5,100.0,573,8,2025-11-02 22:12:43.490137,user_0246,1.0,False,86.0,Excellent
OS,Processes,advanced,5,5,100.0,695,17,2025-12-25 22:12:43.502108,user_0342,1.0,False,92.22857142857143,Excellent
OS,Processes,intermediate,2,5,50.8,818,11,2026-01-11 22:12:43.503106,user_0353,0.4,False,49.5,Needs Improvement
DBMS,Normalization,intermediate,2,5,57.6,710,11,2025-11-11 22:12:43.494115,user_0276,0.4,False,47.23333333333333,Good
Java,Inheritance,advanced,5,5,100.0,612,26,2025-12-23 22:12:43.461216,user_0042,1.0,False,100.0,Excellent
DBMS,SQL,intermediate,5,5,100.0,569,7,2025-11-28 22:12:43.508093,user_0391,1.0,True,,Excellent
OS,Processes,intermediate,5,5,100.0,688,7,2025-11-27 22:12:43.516071,user_0452,1.0,True,91.2,Excellent
OS,Threads,advanced,5,5,100.0,735,20,2026-01-01 22:12:43.472199,user_0123,1.0,False,81.0,Excellent
Python,File Handling,advanced,5,5,100.0,559,17,2026-01-07 22:12:43.486148,user_0216,1.0,False,79.4,Excellent
Python,File Handling,intermediate,5,5,100.0,576,12,2025-12-13 22:12:43.498117,user_0309,1.0,False,77.3,Excellent
C,Arrays,advanced,5,5,100.0,630,24,2025-12-17 22:12:43.488111,user_0232,1.0,True,69.64000000000001,Excellent
Data Structures,Linked List,advanced,4,5,84.6,705,25,2026-01-05 22:12:43.473249,user_0126,0.8,True,53.9,Good
Java,Exceptions,advanced,5,5,100.0,592,19,2025-12-10 22:12:43.499115,user_0320,1.0,False,100.0,Excellent
DBMS,SQL,advanced,5,5,100.0,706,30,2026-01-13 22:12:43.496122,user_0294,1.0,False,81.24,Excellent
Python,Dictionaries,advanced,2,5,55.9,842,17,2025-12-21 22:12:43.511084,user_0412,0.4,True,,Good
OS,Threads,intermediate,4,5,85.2,681,6,2025-11-21 22:12:43.499115,user_0316,0.8,True,,Good
Data Structures,Stacks,advanced,5,5,100.0,615,32,2026-01-09 22:12:43.488111,user_0232,1.0,False,81.17777777777778,Excellent
C,Functions,intermediate,4,5,94.3,552,9,2025-11-26 22:12:43.495127,user_0284,0.8,False,75.56666666666666,Excellent
Data Structures,Trees,intermediate,5,5,100.0,557,12,2026-01-18 22:12:43.494115,user_0282,1.0,False,89.7,Excellent
Data Structures,Trees,advanced,5,5,100.0,609,34,2026-01-12 22:12:43.506095,user_0373,1.0,False,94.22,Excellent
DBMS,SQL,advanced,5,5,100.0,513,17,2026-01-04 22:12:43.463213,user_0061,1.0,False,100.0,Excellent
DBMS,SQL,advanced,5,5,100.0,741,16,2025-11-28 22:12:43.481266,user_0181,1.0,False,100.0,Excellent
DBMS,Transactions,intermediate,4,5,91.1,634,12,2025-11-27 22:12:43.488111,user_0231,0.8,True,49.75,Good
